시군구코드,연도,시군구명,대졸인구비율,대졸인구비율등급,여성종사자비율,여성종사자비율등급,20세미만인구성장률,20세미만인구성장률등급,투표율,투표율등급,재정자립도,재정자립도등급,경제활동인구대비종사자수,경제활동인구대비종사자수등급,1인당지역내총생산,1인당지역내총생산등급,특허출원건수,특허출원건수등급,1인당주민세,1인당주민세등급,1인당공원면적,1인당공원면적등급,도로밀도,도로밀도등급,1만인당공무원수,1만인당공무원수등급,건축허가면적증감률,건축허가면적증감률등급,주민등록인구전출입률,주민등록인구전출입률등급,폐기물재활용률,폐기물재활용률등급,1만인당사회복지시설수,1만인당사회복지시설수등급,1만인당문화체육시설수,1만인당문화체육시설수등급,1만인당축제건수,1만인당축제건수등급,비영리단체수,비영리단체수등급
46720,2024,전라남도 곡성군,,,,,,,,,31.57,8,,,,,,,,,,,,,,,,,2.502718203,9,,,,,,,,,30,5
46730,2024,전라남도 구례군,,,,,,,,,20.69,6,,,,,,,,,,,,,,,,,-0.63229098,5,,,,,,,,,31,5
46770,2024,전라남도 고흥군,,,,,,,,,10.94,3,,,,,,,,,,,,,,,,,-0.797943407,5,,,,,,,,,6,3
46780,2024,전라남도 보성군,,,,,,,,,16.27,5,,,,,,,,,,,,,,,,,-0.300816502,5,,,,,,,,,36,5
46790,2024,전라남도 화순군,,,,,,,,,21.33,6,,,,,,,,,,,,,,,,,1.292378919,7,,,,,,,,,26,5
46800,2024,전라남도 장흥군,,,,,,,,,10.97,3,,,,,,,,,,,,,,,,,0.302327925,6,,,,,,,,,14,3
46810,2024,전라남도 강진군,,,,,,,,,9.98,3,,,,,,,,,,,,,,,,,-0.953820319,4,,,,,,,,,20,3
46820,2024,전라남도 해남군,,,,,,,,,8.93,3,,,,,,,,,,,,,,,,,-0.346444278,5,,,,,,,,,6,3
46830,2024,전라남도 영암군,,,,,,,,,9.26,3,,,,,,,,,,,,,,,,,-0.118012004,5,,,,,,,,,30,5
46840,2024,전라남도 무안군,,,,,,,,,12.77,3,,,,,,,,,,,,,,,,,2.259118127,9,,,,,,,,,22,3
46860,2024,전라남도 함평군,,,,,,,,,12.41,3,,,,,,,,,,,,,,,,,1.544965216,8,,,,,,,,,16,3
46870,2024,전라남도 영광군,,,,,,,,,14.22,5,,,,,,,,,,,,,,,,,-0.026607686,6,,,,,,,,,460,10
46880,2024,전라남도 장성군,,,,,,,,,21.73,6,,,,,,,,,,,,,,,,,-0.903797839,4,,,,,,,,,89,6
46890,2024,전라남도 완도군,,,,,,,,,16.11,5,,,,,,,,,,,,,,,,,-0.22011494,5,,,,,,,,,156,8
46900,2024,전라남도 진도군,,,,,,,,,14.73,5,,,,,,,,,,,,,,,,,-0.208208178,5,,,,,,,,,52,5
46910,2024,전라남도 신안군,,,,,,,,,9.69,3,,,,,,,,,,,,,,,,,-0.412231829,5,,,,,,,,,48,5
47110,2024,경상북도 포항시,,,,,,,,,8.68,3,,,,,,,,,,,,,,,,,-0.535381443,5,,,,,,,,,29,5
47130,2024,경상북도 경주시,,,,,,,,,10.02,3,,,,,,,,,,,,,,,,,0.078129844,6,,,,,,,,,44,5
47150,2024,경상북도 김천시,,,,,,,,,17.67,5,,,,,,,,,,,,,,,,,1.839261072,8,,,,,,,,,37,5
47170,2024,경상북도 안동시,,,,,,,,,6.69,3,,,,,,,,,,,,,,,,,-0.074500228,6,,,,,,,,,20,3
47190,2024,경상북도 구미시,,,,,,,,,8.14,3,,,,,,,,,,,,,,,,,0.238798194,6,,,,,,,,,22,3
47210,2024,경상북도 영주시,,,,,,,,,7.97,3,,,,,,,,,,,,,,,,,-0.382325897,5,,,,,,,,,24,3
47230,2024,경상북도 영천시,,,,,,,,,8.07,3,,,,,,,,,,,,,,,,,-0.164210032,5,,,,,,,,,15,3
47250,2024,경상북도 상주시,,,,,,,,,8.14,3,,,,,,,,,,,,,,,,,1.330996943,7,,,,,,,,,27,5
47280,2024,경상북도 문경시,,,,,,,,,9.39,3,,,,,,,,,,,,,,,,,-0.139264839,5,,,,,,,,,26,5
47290,2024,경상북도 경산시,,,,,,,,,8.23,3,,,,,,,,,,,,,,,,,-0.944534598,4,,,,,,,,,135,8
47730,2024,경상북도 의성군,,,,,,,,,16.37,5,,,,,,,,,,,,,,,,,-1.587974653,4,,,,,,,,,79,6
47750,2024,경상북도 청송군,,,,,,,,,25.87,7,,,,,,,,,,,,,,,,,-1.04474714,4,,,,,,,,,78,6
47760,2024,경상북도 영양군,,,,,,,,,19.61,6,,,,,,,,,,,,,,,,,-0.495423933,5,,,,,,,,,46,5
47770,2024,경상북도 영덕군,,,,,,,,,16.79,5,,,,,,,,,,,,,,,,,-0.264028666,5,,,,,,,,,36,5
47820,2024,경상북도 청도군,,,,,,,,,22.93,6,,,,,,,,,,,,,,,,,1.370465182,8,,,,,,,,,39,5
47830,2024,경상북도 고령군,,,,,,,,,11.97,3,,,,,,,,,,,,,,,,,-0.703672994,5,,,,,,,,,13,3
47840,2024,경상북도 성주군,,,,,,,,,9.26,3,,,,,,,,,,,,,,,,,0.161861025,6,,,,,,,,,10,3
47850,2024,경상북도 칠곡군,,,,,,,,,7.83,3,,,,,,,,,,,,,,,,,0.224765869,6,,,,,,,,,4,3
47900,2024,경상북도 예천군,,,,,,,,,7.1,3,,,,,,,,,,,,,,,,,0.10466855,6,,,,,,,,,15,3
47920,2024,경상북도 봉화군,,,,,,,,,7.61,3,,,,,,,,,,,,,,,,,-0.237548927,5,,,,,,,,,11,3
47930,2024,경상북도 울진군,,,,,,,,,15.63,5,,,,,,,,,,,,,,,,,-0.046101918,6,,,,,,,,,24,3
47940,2024,경상북도 울릉군,,,,,,,,,8.04,3,,,,,,,,,,,,,,,,,-0.391860904,5,,,,,,,,,17,3
48120,2024,경상남도 창원시,,,,,,,,,7.83,3,,,,,,,,,,,,,,,,,-0.288918575,5,,,,,,,,,14,3
48170,2024,경상남도 진주시,,,,,,,,,7.81,3,,,,,,,,,,,,,,,,,-1.004435995,4,,,,,,,,,12,3
48220,2024,경상남도 통영시,,,,,,,,,12.15,3,,,,,,,,,,,,,,,,,-0.900935962,4,,,,,,,,,18,3
48240,2024,경상남도 사천시,,,,,,,,,14.08,5,,,,,,,,,,,,,,,,,2.928134474,10,,,,,,,,,23,3
48250,2024,경상남도 김해시,,,,,,,,,7.16,3,,,,,,,,,,,,,,,,,-0.349883372,5,,,,,,,,,9,3
48270,2024,경상남도 밀양시,,,,,,,,,11.72,3,,,,,,,,,,,,,,,,,1.347460555,7,,,,,,,,,22,3
