"시도코드","시도명","시군구코드","시군구명","읍면동코드","읍면동명","기준연도","연도","과거대비인구변화","최근인구변화","과거대비사업체변화","최근사업체변화","노후건축물비율"
"41",경기도,"41410",경기도 군포시,"3116062 ",대야동,"2014","2014",73.29,1,-1.75,2,36.69
"41",경기도,"41410",경기도 군포시,"3116061 ",광정동,"2014","2014",-3.98,5,-0.51,1,56.9
"11",서울특별시,"11650",서울특별시 서초구,"1122063 ",방배2동,"2017","2017",-16.59,3,-0.54,1,79.52
"11",서울특별시,"11650",서울특별시 서초구,"1122057 ",반포1동,"2017","2017",1.87,4,-7.73,1,63.77
"11",서울특별시,"11650",서울특별시 서초구,"1122053 ",서초3동,"2017","2017",-6.95,4,-0.79,1,59.54
"11",서울특별시,"11650",서울특별시 서초구,"1122051 ",서초1동,"2017","2017",-49.44,3,-0.8,1,68.21
"11",서울특별시,"11650",서울특별시 서초구,"1122068 ",내곡동,"2016","2016",25.95,1,-36.61,1,69.22
"11",서울특별시,"11650",서울특별시 서초구,"1122067 ",양재2동,"2016","2016",0.13,2,5.81,1,66.28
"11",서울특별시,"11650",서울특별시 서초구,"1122058 ",반포2동,"2016","2016",-38.95,4,5.25,0,37.21
"11",서울특별시,"11650",서울특별시 서초구,"1122056 ",반포본동,"2013","2013",-31.86,1,-0.78,0,96.12
"11",서울특별시,"11650",서울특별시 서초구,"1122067 ",양재2동,"2014","2014",-4.33,3,0.5,2,58.5
"44",충청남도,"44710",충청남도 금산군,"3431033 ",부리면,"2018","2018",-67.4,5,1.63,1,70.33
"44",충청남도,"44710",충청남도 금산군,"3431035 ",남일면,"2013","2013",-67.11,2,,,72.19
"44",충청남도,"44710",충청남도 금산군,"3431037 ",진산면,"2014","2014",-65.13,4,-5.75,1,60.51
"26",부산광역시,"26260",부산광역시 동래구,"2106064 ",명장2동,"2019","2019",-32.05,3,-10.79,3,88.01
"26",부산광역시,"26260",부산광역시 동래구,"2106051 ",수민동,"2019","2019",-6.66,4,-1.91,2,81.4
"26",부산광역시,"26260",부산광역시 동래구,"2106059 ",사직2동,"2016","2016",-1.44,4,-2.52,2,68.72
