cell_id,ix,iy,cell_area_m2,impervious_area,impervious_ratio,veg_area,veg_ratio,elev_mean,elev_min,slope_mean,slope_max,flood_area,flood_ratio,flood_label,flood_proba
28_40,28,40,9978.66955569766,9529.541118826452,0.954991150437008,449.1284368761428,0.0450088495634869,34.936574172973636,32.05215072631836,3.6110905090548,4.915188391794555,0.0,0.0,0,0.4591201641134985
28_41,28,41,9978.551462766904,9202.159829509212,0.9221939540869584,776.3916332539213,0.0778060459126639,41.1972546895345,38.435997009277344,5.05540274959101,7.419573157637259,0.0,0.0,0,0.32024369880771186
28_42,28,42,9978.433367172936,5735.538703607537,0.5747935064111688,4242.894663567071,0.4252064935889988,53.277967071533205,49.675575256347656,8.919248228949563,11.559259075596486,0.0,0.0,0,0.025456872286312434
28_43,28,43,9978.315269049215,5609.766654696601,0.5621957718751381,4368.54861435291,0.4378042281248913,67.5200210571289,64.87930297851562,8.21562378834664,20.313462441868083,0.0,0.0,0,0.0674125315428955
28_44,28,44,9978.197168586914,6370.736658828878,0.6384657018890202,3607.460509762154,0.3615342981113925,70.71344299316407,64.13748168945312,11.616051293579806,27.696727967654336,0.0,0.0,0,0.015778856609493255
28_45,28,45,9978.079065467238,7382.809216291332,0.7399028578398643,2595.2698491772826,0.2600971421602736,63.84279937744141,58.299957275390625,7.761086901675778,24.159814690675624,0.0,0.0,0,0.044500945649795946
28_46,28,46,9977.96096010285,9585.296215723843,0.9606467948763192,392.6647443802421,0.0393532051238046,58.62093505859375,52.23313903808594,6.644716586969581,12.59329812232383,0.0,0.0,0,0.028508205527027566
28_47,28,47,9977.84285199879,7542.8667380092575,0.7559616692598289,2434.9761139899783,0.2440383307402157,59.33798027038574,52.74734878540039,9.411603154504077,14.393104171571114,0.0,0.0,0,0.033230685732723704
28_48,28,48,9977.724741563012,5425.411466408868,0.5437523690956197,4552.313275153519,0.4562476309043176,68.20589904785156,61.83220672607422,7.703836407941344,15.089027637627744,0.0,0.0,0,0.09806488085296355
28_49,28,49,9977.606628463294,4492.031598852823,0.4502113348544254,5485.575029602649,0.5497886651447905,56.6882692972819,45.26089096069336,11.06057568770986,17.778275783594918,0.0,0.0,0,0.0011813958931439757
28_50,28,50,9977.48851303726,6336.879363372286,0.6351176806760631,3640.6091496595304,0.3648823193233913,48.78762092590332,41.83283996582031,9.411242081516724,15.07034745269919,0.0,0.0,0,0.007904779816084125
28_51,28,51,9977.370394965492,450.04335272554624,0.0451064092952422,9527.327042247996,0.9548935907055645,65.4411720275879,56.99347686767578,13.21312590720476,16.19058222950062,0.0,0.0,0,0.029094484289180145
28_52,28,52,9977.252274706774,0.0,0.0,9977.252274706774,1.0,79.03904190063477,68.21246337890625,12.012031838284496,16.02036696077178,0.0,0.0,0,0.018113343184194004
28_53,28,53,9977.134151563692,0.0,0.0,9977.134151563692,1.0,72.22593193054199,63.4326286315918,13.856721287795102,18.87797247847852,0.0,0.0,0,0.006460676272477951
28_54,28,54,9977.016026140738,3708.958092151174,0.3717502389926355,6268.057933990805,0.6282497610074889,65.87649765014649,59.02124786376953,7.282833230090615,11.753721802157862,0.0,0.0,0,0.038686181305144146
28_55,28,55,9976.897898158524,4422.57396847554,0.4432814702144874,5362.55393519966,0.5374971248517486,58.14218864440918,42.991363525390625,12.168718698491768,21.037479966426513,0.0,0.0,0,0.0011813958931439757
28_56,28,56,9976.779767815158,6719.739774672557,0.6735379482215563,1714.6482191869643,0.1718638938706832,39.915445709228514,33.5379524230957,10.533612992479515,18.90262952710382,0.0,0.0,0,0.025296141305325506
28_57,28,57,9976.66163479073,9976.661634786127,0.9999999999995388,0.0,0.0,36.75983047485352,32.55908203125,4.918405327764539,6.647244032825264,0.0,0.0,0,0.7741832086196264
