시도코드,시도명,시군구코드,시군구명,기준연도,연도,과거대비인구변화,최근인구변화,과거대비사업체변화,최근사업체변화,노후건축물비율
48,경상남도,48270,경상남도 밀양시,2024,2024,-25.30460077,5,-9.099403436,1,61.39288887
48,경상남도,48310,경상남도 거제시,2024,2024,-4.568293457,5,-3.331941157,1,57.62835789
48,경상남도,48330,경상남도 양산시,2024,2024,17.93585416,1,-7.879289585,1,48.74074074
48,경상남도,48720,경상남도 의령군,2024,2024,-48.92522506,5,-8.911542256,2,50.98871332
48,경상남도,48730,경상남도 함안군,2024,2024,-5.975923671,5,-1.363677414,1,38.06929166
48,경상남도,48740,경상남도 창녕군,2024,2024,-31.20879121,5,0.014446692,0,67.08670356
48,경상남도,48820,경상남도 고성군,2024,2024,-28.47598918,5,1.961738003,0,69.56152491
48,경상남도,48840,경상남도 남해군,2024,2024,-43.31888112,5,3.132212331,0,69.85829773
48,경상남도,48850,경상남도 하동군,2024,2024,-37.63018066,5,2.083667254,0,69.04380876
48,경상남도,48860,경상남도 산청군,2024,2024,-34.90105423,5,-2.898550725,1,66.56082663
48,경상남도,48870,경상남도 함양군,2024,2024,-33.60235576,5,4.301075269,0,60.69306167
48,경상남도,48880,경상남도 거창군,2024,2024,-24.11188451,5,1.685618729,1,66.24586093
48,경상남도,48890,경상남도 합천군,2024,2024,-43.10252281,5,2.037414336,0,70.27567874
50,제주특별자치도,50110,제주특별자치도 제주시,2024,2024,7.45750498,2,1.509051326,1,55.0850367
50,제주특별자치도,50130,제주특별자치도 서귀포시,2024,2024,-1.901538213,2,2.119962985,0,60.19433246
51,강원특별자치도,51110,강원특별자치도 춘천시,2024,2024,0.474796233,2,-1.026629182,1,55.48252766
51,강원특별자치도,51130,강원특별자치도 원주시,2024,2024,6.295159732,0,1.198304837,0,52.43302468
51,강원특별자치도,51150,강원특별자치도 강릉시,2024,2024,-6.85298137,5,-0.014315368,1,60.86656139
51,강원특별자치도,51170,강원특별자치도 동해시,2024,2024,-10.45625213,4,0.136524984,0,68.15391526
51,강원특별자치도,51190,강원특별자치도 태백시,2024,2024,-54.17748026,5,2.842327636,0,74.36518929
51,강원특별자치도,51210,강원특별자치도 속초시,2024,2024,-10.64158663,2,2.070952638,0,70.1461039
51,강원특별자치도,51230,강원특별자치도 삼척시,2024,2024,-41.20227575,2,1.072113757,0,63.57845174
51,강원특별자치도,51720,강원특별자치도 홍천군,2024,2024,-16.01305929,4,0.79982937,0,49.85180942
51,강원특별자치도,51730,강원특별자치도 횡성군,2024,2024,-9.800160861,2,2.763561924,0,35.84689621
51,강원특별자치도,51750,강원특별자치도 영월군,2024,2024,-44.44117647,5,3.423255814,0,46.25333073
51,강원특별자치도,51760,강원특별자치도 평창군,2024,2024,-27.51835371,5,1.376856436,0,50.76814189
51,강원특별자치도,51770,강원특별자치도 정선군,2024,2024,-61.38361791,5,-1.393376414,1,50.14336037
51,강원특별자치도,51780,강원특별자치도 철원군,2024,2024,-19.95208306,5,4.711425206,0,60.33111719
51,강원특별자치도,51790,강원특별자치도 화천군,2024,2024,-18.91770245,5,2.116741501,0,50.79772398
51,강원특별자치도,51800,강원특별자치도 양구군,2024,2024,-26.43972627,5,4.197372637,1,47.52694114
51,강원특별자치도,51810,강원특별자치도 인제군,2024,2024,-18.76075731,2,2.706495589,1,39.93291208
51,강원특별자치도,51820,강원특별자치도 고성군,2024,2024,-38.66653627,1,4.757548033,0,60.78973346
51,강원특별자치도,51830,강원특별자치도 양양군,2024,2024,-26.13416379,4,3.089942925,0,45.20628027
52,전북특별자치도,52110,전북특별자치도 전주시,2024,2024,0.537189639,4,-1.233403071,2,66.31662689
52,전북특별자치도,52130,전북특별자치도 군산시,2024,2024,-9.032067025,5,-5.283253143,2,64.05142894
52,전북특별자치도,52140,전북특별자치도 익산시,2024,2024,-13.89088842,5,-2.571136728,1,69.63212066
52,전북특별자치도,52180,전북특별자치도 정읍시,2024,2024,-44.43485158,5,-0.044946706,1,58.5773447
52,전북특별자치도,52190,전북특별자치도 남원시,2024,2024,-38.34923388,5,3.374507698,1,66.59854388
52,전북특별자치도,52210,전북특별자치도 김제시,2024,2024,-48.48822693,2,-0.831959815,2,65.61525577
52,전북특별자치도,52710,전북특별자치도 완주군,2024,2024,-1.437292077,2,-6.859234503,1,54.34690595
52,전북특별자치도,52720,전북특별자치도 진안군,2024,2024,-48.77890738,5,-5.114466634,1,54.77268052
52,전북특별자치도,52730,전북특별자치도 무주군,2024,2024,-39.80585135,5,-1.99033267,1,61.28493951
52,전북특별자치도,52740,전북특별자치도 장수군,2024,2024,-40.35174997,5,5.06897658,1,67.59259259
52,전북특별자치도,52750,전북특별자치도 임실군,2024,2024,-46.90305764,5,1.146953405,0,59.43945003
52,전북특별자치도,52770,전북특별자치도 순창군,2024,2024,-42.57027229,3,8.993576017,1,67.25152572
52,전북특별자치도,52790,전북특별자치도 고창군,2024,2024,-46.37111937,5,5.363069162,0,45.33797399
52,전북특별자치도,52800,전북특별자치도 부안군,2024,2024,-53.07761882,5,2.418054809,1,68.18166389
11,서울특별시,11110,서울특별시 종로구,2023,2023,-42.58109324,5,-6.456266907,2,81.71171671
11,서울특별시,11140,서울특별시 중구,2023,2023,-37.67103626,3,-10.42451147,2,87.43733412
11,서울특별시,11170,서울특별시 용산구,2023,2023,-31.15945377,3,-12.32222872,2,85.63525973
11,서울특별시,11200,서울특별시 성동구,2023,2023,-32.16392604,5,-1.829865207,2,83.99455234
11,서울특별시,11215,서울특별시 광진구,2023,2023,-13.11818279,5,-6.872030835,2,76.25257945
11,서울특별시,11230,서울특별시 동대문구,2023,2023,-34.08085913,4,-2.699219234,2,82.39470517
11,서울특별시,11260,서울특별시 중랑구,2023,2023,-15.64084837,5,1.337675933,1,77.17586362
11,서울특별시,11290,서울특별시 성북구,2023,2023,-22.88954564,4,0.427619167,2,79.90463663
11,서울특별시,11305,서울특별시 강북구,2023,2023,-24.5342857,5,-4.269773953,2,82.95044617
11,서울특별시,11320,서울특별시 도봉구,2023,2023,-24.5342857,5,-5.088062622,2,80.26539417
11,서울특별시,11350,서울특별시 노원구,2023,2023,-16.5168191,5,-0.573762824,1,78.79374419
11,서울특별시,11380,서울특별시 은평구,2023,2023,-5.84911609,4,-1.219624873,1,73.7614557
11,서울특별시,11410,서울특별시 서대문구,2023,2023,-21.74874512,1,-3.583681384,2,81.6246659
11,서울특별시,11440,서울특별시 마포구,2023,2023,-18.99318229,5,-6.287356926,2,72.95107101
11,서울특별시,11470,서울특별시 양천구,2023,2023,-11.67767584,5,-0.387446726,2,77.38033821
11,서울특별시,11500,서울특별시 강서구,2023,2023,-1.158465904,5,-1.612548156,1,69.94916895
11,서울특별시,11530,서울특별시 구로구,2023,2023,-9.567057088,4,-3.271494115,2,76.67420592
11,서울특별시,11545,서울특별시 금천구,2023,2023,-29.87264944,5,0.466759728,0,76.58500471
11,서울특별시,11560,서울특별시 영등포구,2023,2023,-24.13482831,3,0.3900645,2,81.15057261
11,서울특별시,11590,서울특별시 동작구,2023,2023,-10.80034464,5,-6.212312961,2,74.88386362
11,서울특별시,11620,서울특별시 관악구,2023,2023,-16.66681178,3,-7.899683003,2,73.15222866
11,서울특별시,11650,서울특별시 서초구,2023,2023,-4.681951679,4,-7.734953534,2,67.60057061
11,서울특별시,11680,서울특별시 강남구,2023,2023,-6.707572505,3,-7.364415844,2,68.69347374
